Name,Amount of episodes,Duration,Rating
Koukaku Kidoutai,Movie (1 eps),Nov 1995 - Nov 1995,8.28
Hajime no Ippo: Champion Road,Special (1 eps),Apr 2003 - Apr 2003,8.27
"Komi-san wa, Comyushou desu. 2nd Season",TV (? eps),Apr 2022 -,8.27
Planetes,TV (26 eps),Oct 2003 - Apr 2004,8.27
Sasaki to Miyano,TV (12 eps),Jan 2022 - Mar 2022,8.27
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,TV (13 eps),Oct 2018 - Dec 2018,8.27
Tenkuu no Shiro Laputa,Movie (1 eps),Aug 1986 - Aug 1986,8.27
Yuru Camp△,TV (12 eps),Jan 2018 - Mar 2018,8.27
Non Non Biyori Movie: Vacation,Movie (1 eps),Aug 2018 - Aug 2018,8.26
Space☆Dandy 2nd Season,TV (13 eps),Jul 2014 - Sep 2014,8.26
Tonari no Totoro,Movie (1 eps),Apr 1988 - Apr 1988,8.26
Great Pretender,TV (23 eps),Jul 2020 - Dec 2020,8.26
Hunter x Hunter: Greed Island Final,OVA (14 eps),Mar 2004 - Aug 2004,8.26
Initial D Final Stage,TV (4 eps),May 2014 - Jun 2014,8.26
Danshi Koukousei no Nichijou,TV (12 eps),Jan 2012 - Mar 2012,8.25
Diamond no Ace: Act II,TV (52 eps),Apr 2019 - Mar 2020,8.25
Gyakkyou Burai Kaiji: Hakairoku-hen,TV (26 eps),Apr 2011 - Sep 2011,8.25
Kuroshitsuji Movie: Book of the Atlantic,Movie (1 eps),Jan 2017 - Jan 2017,8.25
Luo Xiao Hei Zhan Ji (Movie),Movie (1 eps),Sep 2019 - Sep 2019,8.25
Re:Zero kara Hajimeru Isekai Seikatsu,TV (25 eps),Apr 2016 - Sep 2016,8.25
Sennen Joyuu,Movie (1 eps),Sep 2002 - Sep 2002,8.25
Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,Special (1 eps),Dec 2015 - Dec 2015,8.25
Wu Liuqi Zhi Zui Qiang Fa Xing Shi,ONA (10 eps),Oct 2019 - Jan 2020,8.25
Major S3,TV (26 eps),Jan 2007 - Jun 2007,8.24
Naruto: Shippuuden,TV (500 eps),Feb 2007 - Mar 2017,8.24
Nodame Cantabile: Finale,TV (11 eps),Jan 2010 - Mar 2010,8.24
One Piece Movie 14: Stampede,Movie (1 eps),Aug 2019 - Aug 2019,8.24
Ookami to Koushinryou,TV (13 eps),Jan 2008 - Mar 2008,8.24
